Time Taken(ms), FPS
0.7443, 237.2168
0.6746, 228.605
0.6856, 212.2447
0.8201, 212.0311
0.8731, 212.18
0.7767, 212.2047
0.7788, 213.4067
0.7927, 214.0095
1.1051, 217.0869
0.7501, 212.1671
0.8228, 217.5167
0.8251, 217.3557
0.7773, 222.017
0.7296, 222.1461
0.7075, 221.4163
0.7181, 225.1334
0.7362, 224.4321
0.6677, 211.2516
0.6696, 210.1299
0.6895, 215.8291
0.7626, 217.3405
0.9302, 218.0522
0.905, 212.3082
0.7183, 214.1291
0.8848, 217.4465
0.9446, 220.6717
0.7372, 221.9088
0.7045, 226.2991
0.6997, 228.6034
0.739, 227.7874
0.8102, 229.446
0.7887, 227.7126
0.7337, 230.877
0.7508, 230.3675
0.785, 226.94
0.7174, 227.4104
0.7574, 230.1489
0.7985, 232.6457
0.7176, 233.1392
0.8131, 235.7593
0.9196, 238.4578
0.694, 234.9783
0.6979, 234.2419
0.7152, 237.6984
0.9786, 239.2058
0.8225, 241.3232
0.7225, 241.2092
0.7025, 244.8232
0.6529, 202.8158
0.7621, 194.7296
1.2758, 198.0703
0.8584, 200.5406
0.8989, 201.86
1.0211, 204.5393
0.775, 208.4388
1.0296, 212.6576
0.9105, 215.8254
1.0733, 215.0437
1.2059, 216.0244
0.9016, 215.9218
0.89, 214.1169
0.6839, 178.5995
0.7182, 177.525
0.7269, 183.9971
0.7255, 189.4204
1.0907, 194.6091
0.7082, 198.7809
0.8641, 204.1475
0.7244, 208.8796
0.7235, 212.4346
0.9152, 216.7933
0.8005, 217.5218
1.0421, 221.5882
0.8058, 223.4248
0.7905, 226.3534
0.7193, 230.2347
0.9287, 232.4849
0.7212, 235.4854
0.7479, 237.6593
0.7272, 241.3644
0.7666, 242.8026
0.7255, 244.5601
0.7463, 246.9888
0.7444, 250.0037
0.7789, 251.9516
0.8544, 249.4677
0.7008, 250.8421
1.0234, 251.6037
0.7056, 252.8897
0.7486, 253.4639
0.7909, 254.6512
0.7075, 255.1602
0.7107, 257.7502
0.7472, 257.1452
0.7088, 255.913
0.7479, 257.6098
0.7114, 257.386
0.8207, 259.7433
0.7362, 260.206
0.7238, 262.2161
0.7778, 261.4206
0.8198, 262.8192
0.7156, 262.3716
0.8956, 264.3797
0.7738, 262.8435
1.0397, 264.8192
0.8236, 262.5468
0.9568, 262.7734
0.7431, 262.6358
0.7383, 262.49
0.7471, 263.2977
0.7237, 246.892
0.7545, 248.4239
0.9079, 248.0509
0.7181, 245.6998
0.7568, 248.3024
0.7335, 249.8718
0.8255, 250.991
0.7273, 253.134
0.8259, 254.8609
0.7029, 256.5472
0.7203, 255.5058
0.7042, 257.7356
0.7308, 258.7871
0.7152, 260.0792
0.7807, 260.5107
0.8348, 258.7267
0.7625, 257.1101
0.8459, 257.798
0.7556, 254.9235
0.8175, 254.1896
0.7872, 256.5633
0.8788, 255.0645
0.8154, 255.4762
1.023, 254.1811
1.2698, 252.4193
0.8428, 250.9476
0.9317, 244.8624
0.8147, 240.8539
0.692, 227.146
0.7385, 226.0633
0.7539, 224.1406
0.7953, 224.6809
0.7551, 222.3758
0.6725, 220.0601
0.679, 208.8903
0.6773, 196.8624
0.7218, 198.9823
0.7797, 197.4102
0.7018, 200.7986
0.8362, 198.9585
1.1295, 201.931
0.8126, 198.9018
0.8442, 200.5432
0.8445, 201.3421
0.7006, 202.4114
0.677, 196.5494
0.7287, 199.0802
0.8067, 199.6003
0.776, 201.6003
0.7694, 203.5918
0.7444, 205.7406
0.744, 208.0719
0.786, 210.5596
0.7665, 210.0274
0.6621, 206.637
0.7343, 208.2191
