Time Taken(ms), FPS
0.317, 56.74341
0.2736, 56.683
0.6254, 56.56014
0.2769, 56.22581
0.3239, 56.08863
0.2758, 55.81924
0.3808, 55.64699
0.4773, 55.36755
0.427, 55.11239
0.2648, 54.90217
0.3043, 54.7389
0.2625, 54.45609
0.3206, 54.24392
0.2625, 53.96298
0.3074, 53.79983
0.2718, 53.62558
0.3377, 53.29162
0.2718, 53.03074
0.3017, 53.43028
0.3576, 53.07396
0.2671, 52.01645
0.2524, 51.85563
0.3668, 51.76825
0.2775, 51.66156
0.3337, 51.75156
0.2647, 51.70989
0.3069, 51.69585
0.2685, 51.69539
0.3318, 51.79231
0.2669, 51.62965
0.3279, 51.47622
0.2736, 51.3769
0.3459, 51.42668
0.3156, 51.15096
0.2856, 50.75707
0.2691, 50.68887
0.3028, 50.72648
0.2686, 50.51372
0.2925, 50.42348
0.2583, 50.17723
0.3979, 49.90206
0.2772, 49.58468
0.291, 49.39519
0.2511, 49.01127
0.2739, 48.58097
0.2666, 47.82114
0.3029, 47.68918
0.2721, 47.4925
0.2885, 47.42699
0.2806, 47.02657
0.4333, 46.79078
0.2905, 46.34037
0.2939, 46.09975
0.2832, 45.82661
0.3008, 45.55121
0.2714, 45.01917
0.2592, 44.57918
0.2629, 44.21946
0.2763, 43.99389
0.2671, 43.52349
0.2798, 43.26823
0.2768, 42.72858
0.3014, 42.55558
0.2758, 41.95701
0.2721, 41.74545
0.273, 41.23166
0.2922, 40.96464
0.2644, 40.68441
0.2746, 40.49899
0.3441, 40.20414
0.3296, 38.43865
0.291, 38.24893
0.2986, 38.27489
0.2725, 38.1352
0.2826, 38.15528
0.2772, 38.03459
0.3004, 37.92421
0.2707, 37.75097
0.3777, 37.65505
0.2899, 36.93656
0.2597, 36.07243
0.2672, 35.95097
0.2699, 35.90385
0.2814, 35.92863
0.3052, 35.82648
0.2772, 35.76252
0.2986, 34.71216
0.5657, 34.16815
0.277, 32.4671
0.2798, 30.96705
0.2794, 31.15995
0.5091, 31.22851
0.2578, 31.20924
0.2771, 31.2825
0.2791, 31.26989
0.2708, 31.19958
0.3295, 31.11973
0.2776, 31.03146
0.2924, 30.83333
0.2828, 30.71516
0.2828, 30.69459
0.2952, 30.25393
0.2781, 30.08789
0.2682, 29.94019
0.2741, 29.87118
0.3162, 29.78212
0.2845, 29.68266
0.2732, 29.58956
0.2757, 29.45272
0.2675, 29.37465
0.2757, 29.26139
0.3044, 29.1125
0.2794, 28.99214
0.2857, 28.89719
0.2974, 28.83597
0.2788, 28.68446
0.3176, 28.54339
0.2708, 28.4562
0.2814, 28.36544
0.286, 28.35167
0.2741, 28.28326
0.273, 28.24927
0.2791, 28.17073
0.2791, 28.13239
0.3043, 28.11263
0.2924, 27.84365
0.2712, 27.72768
0.2854, 27.7244
0.3146, 27.74097
0.2726, 27.71406
0.2703, 27.66324
0.306, 27.65476
0.2678, 27.58238
0.2786, 27.60556
0.2762, 27.44698
0.3627, 27.39809
0.2687, 27.23998
0.3058, 27.12088
0.2738, 27.06993
0.2787, 27.17611
0.275, 27.21778
0.2838, 27.24472
0.2766, 27.27468
0.268, 27.373
0.2734, 27.42501
0.2851, 27.45549
0.2729, 27.51943
0.5965, 27.54075
0.2815, 27.53397
0.2827, 27.61702
0.2994, 27.69736
0.2728, 27.76248
0.2895, 27.78898
0.2601, 27.77792
0.2943, 27.78485
0.2654, 27.7993
0.2691, 27.85355
0.274, 27.9521
0.2842, 27.45673
0.2818, 27.48136
0.2806, 27.51859
0.2786, 27.44622
0.262, 27.5845
0.2846, 27.71576
0.2727, 27.7679
0.2857, 27.82068
0.2705, 27.90857
0.2854, 28.02283
0.2677, 27.98331
0.2945, 27.98596
0.2846, 27.98537
0.2713, 27.96244
0.2899, 27.93394
0.2734, 27.99264
0.2846, 28.07442
0.2717, 28.04343
0.2874, 27.33407
0.2907, 27.12672
0.286, 25.79288
0.3165, 26.01804
0.2793, 26.15192
0.2687, 26.25072
0.2656, 26.42776
0.2769, 26.53717
0.2731, 26.64723
0.2815, 26.75792
0.278, 26.75313
0.2676, 26.85656
0.4122, 27.01474
0.2796, 27.12127
0.2626, 27.21879
0.3281, 27.24976
0.2781, 27.21367
0.2717, 27.17586
0.2881, 27.12495
0.2792, 27.09386
0.2833, 27.22734
0.2735, 27.14725
0.2822, 27.24426
0.2818, 27.0816
0.28, 27.18298
0.6907, 27.22776
0.2846, 27.18168
0.2648, 27.16444
0.3016, 27.26274
0.2686, 27.29499
0.2665, 27.28901
0.2751, 27.27041
0.2697, 26.94759
0.2776, 27.03286
0.2761, 27.0929
0.2566, 27.20096
0.2688, 27.29509
0.2621, 27.37149
0.2746, 27.46393
0.2734, 27.52237
0.2689, 27.57104
0.2728, 27.64726
0.2898, 27.60924
0.2612, 27.70349
0.3432, 27.7896
0.2719, 27.81292
0.2894, 27.88728
0.3024, 27.9007
0.2749, 27.8528
0.2766, 27.81113
0.2674, 27.83543
0.2752, 27.859
0.2699, 27.85071
0.2903, 27.92521
0.2739, 27.96144
0.269, 27.97406
0.2963, 27.87957
0.2921, 27.92261
0.2759, 27.95387
0.298, 28.00882
0.3123, 27.86141
0.3059, 27.988
0.2705, 28.04072
0.2707, 28.07589
0.3121, 28.1295
0.2856, 28.22116
0.2613, 28.24909
0.2744, 28.22322
0.3313, 28.28539
0.2862, 28.25992
0.2821, 28.23741
0.2678, 28.24555
0.2867, 28.2101
0.3218, 28.26417
0.2805, 28.32098
0.2638, 28.36595
0.2836, 28.41133
0.2701, 28.43307
0.2825, 28.40409
0.2636, 28.50743
0.2934, 28.57962
0.2713, 28.62075
0.443, 28.66797
0.2745, 28.73522
0.2731, 28.79322
0.2819, 28.8069
0.2646, 28.78124
0.2713, 28.73415
0.2985, 28.17026
0.2739, 27.87645
0.2754, 26.51141
0.2726, 26.67378
0.2784, 26.87891
0.3157, 27.03676
0.2895, 27.10697
0.2796, 27.18081
0.2789, 27.34056
0.2715, 27.47357
0.2689, 27.64429
0.264, 27.77372
0.2933, 27.85569
0.3165, 27.9285
0.2669, 28.06245
0.2779, 28.22441
0.2771, 28.32443
0.3217, 28.41885
0.2884, 28.40224
0.2693, 28.44567
0.2733, 28.46284
0.3584, 28.56095
0.2685, 28.56222
0.281, 28.4708
0.2954, 28.49327
0.2708, 28.5506
0.2929, 28.62209
0.274, 28.66601
0.2856, 28.68898
0.2677, 28.51533
0.296, 28.58094
0.2797, 28.52695
0.2737, 28.53146
0.4186, 28.53198
0.2824, 28.56977
0.269, 28.62814
0.2718, 28.67534
0.2606, 28.74403
0.2716, 28.76534
0.2777, 28.85091
0.2664, 28.89311
0.274, 28.93239
0.2655, 28.93832
0.2828, 28.90219
0.2706, 28.87786
0.295, 28.89707
0.2718, 28.87886
0.2913, 28.82796
0.274, 28.81986
0.2737, 28.8012
0.4382, 28.77771
0.2851, 28.73956
0.2682, 28.69618
0.2885, 28.6834
0.2765, 28.65867
0.286, 28.59352
0.4544, 28.63864
0.2599, 28.62011
0.295, 28.65321
0.2828, 28.73676
0.2783, 28.79069
0.2677, 28.82333
0.3039, 28.91213
0.2709, 28.98193
0.31, 29.02794
0.2627, 29.01768
0.2814, 28.9777
0.2793, 29.01431
0.277, 29.05849
0.2683, 29.10569
0.2705, 29.13693
0.2629, 29.20125
0.2972, 29.28635
0.269, 29.32461
0.2828, 29.36105
0.4682, 29.32778
0.3713, 27.42487
0.264, 26.76228
0.3935, 25.8621
0.3091, 25.47359
0.2853, 25.17854
0.286, 24.64165
0.2787, 24.24707
0.3524, 24.05912
0.6794, 24.14091
0.4489, 24.09448
0.3746, 24.29193
0.3372, 24.58781
0.3039, 24.82988
0.4484, 24.98915
0.4187, 25.13502
0.7029, 24.79727
0.2812, 24.49923
0.2836, 23.46747
0.4714, 23.92877
0.3403, 24.15079
0.2904, 24.51044
0.3286, 24.60893
0.3172, 24.75005
0.275, 24.77027
0.3442, 25.07139
0.3253, 25.09816
0.5183, 25.14507
0.3869, 25.22289
0.669, 25.03504
0.3117, 24.95527
0.3028, 25.05268
0.2631, 25.29813
0.2944, 25.67926
0.3552, 25.83412
0.5903, 25.96295
0.3747, 26.10701
0.3312, 26.13526
0.2651, 26.33485
0.2948, 26.71482
0.301, 27.08503
0.5559, 27.42943
0.5902, 27.56741
0.324, 27.58893
0.3142, 27.69149
0.3154, 27.70243
0.2601, 27.69793
0.4672, 27.83046
0.2893, 27.92113
0.2839, 28.04692
0.5988, 28.28825
0.31, 27.66908
0.3968, 14.15573
0.4942, 3.154855
0.2848, 3.416977
0.5538, 3.747246
0.2682, 4.105485
0.2761, 4.488926
0.283, 4.868484
0.2679, 5.30809
0.3116, 5.78579
0.2732, 6.296815
0.2753, 6.840705
0.2627, 7.4186
0.2682, 8.020761
0.294, 8.651728
0.2887, 9.310429
0.2683, 10.0081
0.2694, 10.71949
0.2696, 11.45217
0.267, 12.2069
0.2715, 12.6951
0.293, 13.4557
0.2635, 14.16848
0.2553, 14.9382
0.2896, 15.71914
0.2515, 16.20469
0.2885, 16.97545
0.2539, 17.5522
